Year,SOURCE_DETAIL,SDG Series,Unit of measure,Source details,Value
1980,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.08893
1981,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.22479
1982,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.44001
1983,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.78277
1984,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.5293
1985,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.61661
1986,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.4837
1987,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.4436
1988,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.31871
1989,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.31168
1990,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",0.90575
1991,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",0.62996
1992,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",0.37701
1993,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.01264
1994,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.19428
1995,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",0.74433
1996,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.589
1997,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.32212
1998,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.08477
1999,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",1.10704
2000,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.73411
2001,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.03115
2002,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.16809
2003,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.03535
2004,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.33883
2005,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.11957
2006,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.47614
2007,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.88509
2008,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.70313
2009,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.01192
2010,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.75097
2011,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.05891
2012,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.68949
2013,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.11796
2014,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.36594
2015,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.85824
2016,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",5.24534
2017,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.24053
2018,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.49099
2019,"International Monetary Fund, International Financial Statistics and data files.",Total reserves in months of imports (ratio) [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.85059
1966,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",5.03626
1967,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.85124
1968,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.24218
1969,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.26725
1970,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.23245
1971,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.08709
1972,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.97693
1973,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.28271
1974,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.95059
1975,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",5.14911
1976,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.55393
1977,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",2.80336
1978,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.96525
1979,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.20369
1980,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.03668
1981,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",7.68576
1982,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",7.88591
1983,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.14512
1984,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.23463
1985,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.92811
1986,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.94906
1987,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",8.18845
1988,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",8.1456
1989,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",7.42935
1990,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",10.73818
1991,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",17.40054
1992,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",37.68474
1993,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.88137
1994,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.62038
1995,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",9.94233
1996,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",5.55647
1997,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",6.21313
1998,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",6.44487
1999,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",5.82752
2000,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.97603
2001,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.29711
2002,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.69698
2003,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.92426
2004,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.16562
2005,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.05222
2006,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.69858
2007,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.43494
2008,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.50168
2009,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.50632
2010,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.7316
2011,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.0186
2012,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.60651
2013,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.53207
2014,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.6683
2015,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.99543
2016,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",3.99412
2017,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.40694
2018,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.44503
2019,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.19217
2020,"International Monetary Fund, International Financial Statistics and data files.",Broad money to total reserves ratio [17.13.1],Ratio,"International Monetary Fund, International Financial Statistics and data files.",4.99845
1967,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",10.66313
1968,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",11.07383
1969,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",18.58394
1970,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",27.58199
1971,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",7.5326
1972,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",13.94596
1973,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",24.69984
1974,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",1.83175
1975,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",20.21312
1976,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",24.9573
1977,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",48.89955
1978,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",16.03152
1979,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",13.10929
1980,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",0.78266
1981,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",13.26362
1982,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",16.92618
1983,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",4.94204
1984,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",12.7862
1985,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",6.34629
1986,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",32.69897
1987,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",11.13019
1988,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",8.03924
1989,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",12.92083
1990,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",20.05728
1991,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",19.57273
1992,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",39.02143
1993,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",28.03344
1994,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",23.17787
1995,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",29.00048
1996,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",25.32506
1997,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",20.19466
1998,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",2.93125
1999,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",6.4877
2000,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",4.9079
2001,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",5.64036
2002,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",9.88881
2003,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",11.7873
2004,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",13.47166
2005,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",9.90837
2006,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",16.97191
2007,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",20.42305
2008,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",15.54884
2009,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",16.45732
2010,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",22.36167
2011,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",19.15205
2012,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",14.39232
2013,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",15.27833
2014,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",26.52126
2015,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",16.06981
2016,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",3.89041
2017,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",9.00833
2018,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",10.12298
2019,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",6.0175
2020,"International Monetary Fund, International Financial Statistics and data files.",Annual broad money growth (%) [17.13.1],Percent,"International Monetary Fund, International Financial Statistics and data files.",13.27328
1960,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",1.24378
1961,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",2.457
1962,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",3.11751
1963,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",0.69767
1964,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",-0.0993
1965,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",3.57853
1966,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",5.0144
1967,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",1.7592
1968,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",0.36671
1969,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",-0.1715
1970,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",2.18853
1971,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",3.78021
1972,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",5.83164
1973,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",9.28119
1974,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",17.80995
1975,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",19.12018
1976,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",11.44903
1977,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",14.82096
1978,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",16.93178
1979,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",7.97935
1980,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",13.85818
1981,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",11.60305
1982,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",20.66671
1983,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",11.39778
1984,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",10.2841
1985,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",13.00657
1986,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",2.53428
1987,"International Monetary Fund, International Financial Statistics and data files.","Annual inflation, consumer prices (%) [17.13.1]",Percent,"International Monetary Fund, International Financial Statistics and data files.",8.63767
