Year,SDG Series,Type of product,Unit of measure,Observation-level footnotes,COMMENT_OBS,BASE_PER,Base period,Value
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.03076
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.03269
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.03079
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.02774
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.0229
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Ferrous ores (material flows),Metric Tons,Obs_Value = 0;  ,,,,0.02251
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.02609
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.03194
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.02924
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.02878
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.01189
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.01265
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00874
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.05079
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00601
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.01782
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.03657
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.02392
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.05186
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.03071
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.01068
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00647
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,-7e-05
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00841
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00812
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-ferrous ores (material flows),Metric Tons,,,,,0.00991
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.27343
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.21498
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.32783
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.24612
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.2903
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.39841
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.43417
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.50424
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.50248
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.62124
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.71639
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.56456
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.79566
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.93116
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.93751
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.16908
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.23562
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,0.86524
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.0744
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Non-metallic minerals (material flows),Metric Tons,,,,,1.11672
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.07877
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.06186
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04717
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04735
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.06039
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.05185
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04808
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04521
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04845
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04318
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04064
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.04785
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02961
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02039
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02118
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02061
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.01936
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.01776
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02124
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Fossil fuels (material flows),Metric Tons,,,,,0.02034
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00206
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00201
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00293
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00265
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00303
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00341
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00444
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.0039
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.0039
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00337
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00561
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00887
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00774
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00833
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.01006
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.0104
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.01001
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.00922
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.01348
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Coal (material flows),Metric Tons,,,,,0.01333
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Oil shale and tar sands (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.07671
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.05985
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.04423
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.0447
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.05736
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.04844
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.04364
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.04131
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.04456
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.0398
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.03502
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.03898
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.02187
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.01206
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.01111
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.01021
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.00935
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.00854
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.00776
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Petroleum (material flows),Metric Tons,,,,,0.00701
2000,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2001,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2002,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2003,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2004,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2005,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2006,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2007,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2008,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2009,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2010,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2011,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2012,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2013,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2014,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2015,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2016,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2017,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2018,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2019,"Domestic material consumption per capita, by type of raw material [8.4.2,12.2.2]",Natural gas (material flows),Metric Tons,Obs_Value = 0;  ,Obs_Value = 0;  ,,,0.0
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,3.30577
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,3.2657
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.47506
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.3995
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.4075
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.54147
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.43939
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.86672
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.87852
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.87645
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.86522
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.58176
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.72085
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.66167
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.51264
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.63684
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.59315
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.23238
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.32546
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",,Kilograms per constant USD,,,2015,2015,2.28911
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,1.26308
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,1.18187
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.31431
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.24239
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.27923
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.36222
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.38228
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.43355
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.43758
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.54563
2010,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.59814
2011,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.45689
2012,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.63918
2013,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.71855
2014,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.71374
2015,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.86184
2016,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.88235
2017,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.59858
2018,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.72118
2019,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - construction dominant (material flows),Kilograms per constant USD,,,2015,2015,0.72825
2000,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.014
2001,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01674
2002,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01611
2003,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.00529
2004,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.00639
2005,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01817
2006,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01849
2007,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01428
2008,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.02015
2009,"Domestic material consumption per unit of GDP [8.4.2,12.2.2]",Non-metallic minerals - industrial or agricultural dominant (material flows),Kilograms per constant USD,,,2015,2015,0.01745
